日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Reduced Value Inventory (RVI) Ads,Incentivized Browsing (RVI) Ads,Proxy Server (RVI) Ads,seeThrough Ads,Invisible URL Ads,Total Eligible Ads for Site Quality,% Reduced Value Inventory (RVI) Ads,% seeThrough Ads,Invisible URL rate,% Incentivized Browsing (RVI) Ads,% Proxy Server (RVI) Ads
20260126,16,德榕企業有限公司,3582,忘憂書屋_mobile,20729,MW_蓋板_忘憂書屋,,,,6,2,0,2,3,0,6,33.33%,50.00%,0.00%,0.00%,33.33%
20260126,16,第一網站股份有限公司,2910,clickme,20735,(子)CF_300x250_banner_clickme(成人),,,子聯播網,"11,691",890,0,890,"11,154",0,11691,7.61%,95.41%,0.00%,0.00%,7.61%
20260126,16,第一網站股份有限公司,3440,fsa_passback_first,21699,CF_336x280_fsa_passback_first,,,,"4,025",231,0,231,"3,971",0,4025,5.74%,98.66%,0.00%,0.00%,5.74%
20260126,16,第一網站股份有限公司,3440,fsa_passback_first,21702,(子)CF_970x250_cfbanner_blog,,,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,朱光宁,3269,石頭小說-mobile,21741,MW_320x480_蓋版_石頭小說-mobile,antifroud,,,6,0,0,0,5,0,6,0.00%,83.33%,0.00%,0.00%,0.00%
20260126,16,富盈數據股份有限公司,3653,TVBS-女人我最大_HB,21760,MW_文章三_336x280_TVBS-女人我最大_HB,,知名媒體,,30,6,0,6,23,0,30,20.00%,76.67%,0.00%,0.00%,20.00%
20260126,16,富盈數據股份有限公司,3653,TVBS-女人我最大_HB,21761,MW_文章四_336x280_TVBS-女人我最大_HB,,知名媒體,,272,36,0,36,187,0,272,13.24%,68.75%,0.00%,0.00%,13.24%
20260126,16,富盈數據股份有限公司,3653,TVBS-女人我最大_HB,21763,MW_文中創意320x480_TVBS-女人我最大_HB,,知名媒體,,171,19,0,19,117,0,171,11.11%,68.42%,0.00%,0.00%,11.11%
20260126,16,富盈數據股份有限公司,3654,TVBS-健康2.0_HB,21768,MW_文中創意320x480_TVBS-健康2.0_HB,,知名媒體,,"3,649",533,0,533,"2,712",0,3649,14.61%,74.32%,0.00%,0.00%,14.61%
20260126,16,富盈數據股份有限公司,3655,TVBS-食尚玩家_HB,21770,MW_文章三_336x280_TVBS-食尚玩家_HB,,知名媒體,,385,43,0,43,323,0,385,11.17%,83.90%,0.00%,0.00%,11.17%
20260126,16,富盈數據股份有限公司,3655,TVBS-食尚玩家_HB,21771,MW_文章四_336x280_TVBS-食尚玩家_HB,,知名媒體,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,富盈數據股份有限公司,3655,TVBS-食尚玩家_HB,21772,MW_文章置底_320x100_TVBS-食尚玩家_HB,,知名媒體,,6,2,0,2,4,0,6,33.33%,66.67%,0.00%,0.00%,33.33%
20260126,16,富盈數據股份有限公司,3655,TVBS-食尚玩家_HB,21773,MW_文中創意320x480_TVBS-食尚玩家_HB,,知名媒體,,226,25,0,25,164,0,226,11.06%,72.57%,0.00%,0.00%,11.06%
20260126,16,先驅媒體社會企業股份有限公司,3554,新頭殼(R18),21832,(子)CF_300x250Banner_newtalk.tw_all_300250_3_新頭殼(R18),antifroud,知名媒體,子聯播網,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,先驅媒體社會企業股份有限公司,3554,新頭殼(R18),21833,(子)CF_300x250Banner_newtalk.tw_all_300250_4_新頭殼(R18),,知名媒體,子聯播網,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,先驅媒體社會企業股份有限公司,3554,新頭殼(R18),21839,ＭＷ_336x280Banner_newtalk.tw_mobile_all_336280_2_新頭殼(R18),antifroud,知名媒體,,25,4,0,4,17,0,25,16.00%,68.00%,0.00%,0.00%,16.00%
