日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible Ads for Invalid Traffic,Invalid Traffic Ads,Valid Traffic Ads,General Invalid Traffic (GIVT) Ads,Sophisticated Invalid Traffic (SIVT) Ads,Bots (SIVT) Ads,Domain Spoofing (SIVT) Ads,Hidden Ads (SIVT) Ads,% Eligible for Invalid Traffic,% Invalid Traffic Ads,% General Invalid Traffic (GIVT) Ads,% Sophisticated Invalid Traffic (SIVT) Ads,% Bots (SIVT) Ads,% Domain Spoofing (SIVT) Ads,% Hidden Ads (SIVT) Ads
20260126,22,飛凡傳播股份有限公司,1921,非凡新聞台-exchange,14188,MW_300x250_內文上方_非凡新聞-exchange,antifroud,知名媒體,,12,12,2,10,2,0,0,0,0,100.00%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%
20260126,22,飛凡傳播股份有限公司,1921,非凡新聞台-exchange,14189,CF_300x600_右側下方_非凡新聞-exchange,antifroud,知名媒體,,19,19,0,19,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,14210,MW_文中創意300x250_縮短網址產生器-reurl,,知名媒體,,297,297,42,255,18,24,24,0,0,100.00%,14.14%,6.06%,8.08%,8.08%,0.00%,0.00%
20260126,22,富盈數據股份有限公司,3059,塔科女子,14258,CF_336x280_全網_塔科女子,,知名媒體,,102,102,0,102,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,CBROOT LTD,3003,包子漫畫-exchange,14291,MW_300x250_蓋板(PB)_包子漫畫,,,,197,197,1,196,1,0,0,0,0,100.00%,0.51%,0.51%,0.00%,0.00%,0.00%,0.00%
20260126,22,朱光宁,3152,石頭小說-exchange,14472,MW_336x280_Banner_石頭小說,,,,"9,686","9,685",15,"9,670",0,15,15,0,0,99.99%,0.15%,0.00%,0.15%,0.15%,0.00%,0.00%
20260126,22,朱光宁,3149,稷下書院-exchange,14748,MW_320x100_置底(PB)_稷下書院,,,,"40,354","40,348",256,"40,092",145,111,111,0,0,99.99%,0.63%,0.36%,0.28%,0.28%,0.00%,0.00%
20260126,22,巨思文化股份有限公司,3053,數位時代_HB,14764,MW_置底創意_(非展開)_數位時代_HB,,知名媒體,,63,63,0,63,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,中天電視股份有限公司,3282,中天新聞網-exchange,14980,CF_970x250_內頁_PC置頂橫幅-中天新聞網-exchange,,知名媒體,,149,149,8,141,2,6,6,0,0,100.00%,5.37%,1.34%,4.03%,4.03%,0.00%,0.00%
20260126,22,CBROOT LTD,3305,包子漫畫NEW-exchange,15143,(子)CF_970x250_Banner(直播)_包子漫畫(kukuc.co),,,子聯播網,70,70,0,70,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,CBROOT LTD,3305,包子漫畫NEW-exchange,15145,(子)CF_970x250_指定流量Banner_包子漫畫(kukuc.co),antifroud,,子聯播網,"1,822","1,822",0,"1,822",0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
